Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Bolivia (Plurinational State of),BOL,89797.3141,93162.28712,93312.30017,100901.252,105808.1816,113697.4526,112523.6413,113910.1001,117324.1843,117854.0239,115436.3981,114969.3187,118992.8753,124426.63,135570.7193,140411.7905,153144.8541,164870.0713,178398.6688,186684.5134,205247.9473,221544.3964,247344.5466,256700.4536,272028.0772
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Bosnia and Herzegovina,BIH,198394.0301,178140.8038,121401.5832,96454.03302,50741.58766,51902.16862,52189.6343,58719.57692,65418.91747,63234.74765,92102.90112,92356.41186,92304.20246,89421.00451,100137.4541,105706.5261,109821.983,114988.4942,135365.1474,120946.3106,127502.965,131607.285,127187.699,122047.5227,173371.7036
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Botswana,BWA,37059.41833,39407.83632,45340.825,45851.07031,44446.81759,44910.12888,47121.2617,48805.31826,56310.91088,57079.90044,58735.36116,63751.06382,65032.97825,63764.00104,59410.39892,62033.80594,66079.00836,71400.43116,74162.50499,72689.67248,69442.47414,70664.34985,72088.90855,74223.88348,77915.88745
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Brazil,BRA,4265067.411,4341766.489,4405679.456,4530320.157,4745897.819,4981885.88,5247187.863,5502200.199,5680942.604,5804426.576,5850772.736,5854749.735,6098574.564,6193283.832,6546518.077,6658619.48,6855296.629,7285773.985,7572616.468,7406463.561,8125271.765,8441443.493,8708681.201,8886223.125,9068528.455
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,British Virgin Islands,VGB,565.82,566.46,625.34,650.04,703.15,743.17,816.75,811.39,830.04,807.34,826.54,841.96,897.35,989.36,1048.35,1091.73,1201.68,1238.46,1313.83,1390.26,1428.54,1461.59,1458.5,1458.69,1501.33
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Brunei Darussalam,BRN,13992.16,14803.10129,16522.45258,17778.70192,19213.39267,20959.95816,23077.85094,25437.90823,23906.16745,23144.25359,23137.68031,22406.8325,23378.58878,24592.76078,25371.63119,25308.49424,58325.68278,59703.68426,62900.01299,45406.18094,34960.40802,37417.34786,39743.03153,38152.46621,38386.75954
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Bulgaria,BGR,671904.949,501662.9622,438128.9839,423055.4991,425639.0478,447987.1813,460184.7951,421700.3157,409708.818,359744.4261,358729.0015,358730.6762,358101.3164,382054.1248,380532.0137,398750.7064,415432.7598,410970.259,402409.9277,354184.8581,364001.7318,380994.8644,380311.4112,361138.6305,370634.8371
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Burkina Faso,BFA,92934.98,95303.87,98168.86,102260.32,103099.82,106543.9,102053.28,104286.29,106050.23,74117.61,77090.32,68273.45,55795.93,57311.19,74541.98,97866.26,105265.73,113315.2,121580.46,121906.68,123654.14,129942.43,136195.62,143561.01,139313.61
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Burundi,BDI,52010.01,53379.01,53514.84,55141.23,57517.23,59233.39,62003.44,63548.88,65632.69,50664.81,52531.49,74884.2,76252.88,77005.48,78205.83,79635.42,81224.82,82712.06,84019.52,85294.93,86990.53,88662.51,55723.2,52640.75,54884.95
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cabo Verde,CPV,1618.07,1609.53,1678.83,1692.09,1745.61,1874.37,2104.18,2150.93,2301.87,2689.57,2994.34,3142.91,3267.31,4163.04,4469.66,5883.16,6401.37,6574.86,6072.66,6556.01,6463.49,6898.13,6708.36,6545.46,6392.91
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cambodia,KHM,98222.15022,98361.63664,98519.57772,98733.81404,99605.22865,106156.7745,110663.6554,112142.8937,126055.7976,124825.7576,123191.4402,123997.1899,144442.8415,148248.3497,119610.3027,119779.4076,119200.1638,122276.9175,124025.9532,182227.3299,190223.4061,199332.6688,209536.654,217483.3679,229907.5713
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cameroon,CMR,197176.7598,198363.0059,200681.4464,207553.4506,214392.714,217962.5471,223295.986,229269.2099,235832.0607,237377.4505,247251.0972,249871.8246,256976.0288,264328.1333,272132.161,275989.6692,252048.9606,221977.4371,228013.2955,240299.8788,242839.7172,248789.3694,256266.4499,264509.3799,273245.7661
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Canada,CAN,6144730.601,6065531.46,6159033.003,6280499.44,6517028.477,6662580.863,6854412.67,6903756.871,6775694.592,6962664.729,7181939.544,6925804.434,7126272.94,7311590.715,7414209.685,7343870.65,7156643.15,7438147.044,7256546.813,6839959.962,6887647.028,7181756.456,7180462.86,7365133.941,7466985.974
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cayman Islands,CYM,2016.7,2245.4,2412.4,2503.5,2539.7,2471.9,2518.7,2671,3002.8,3076.1,3246.2,3369.7,3476.5,3676.5,3411.9,3679.2,4000.5,4550.1,4862.1,4631.9,4481,4803,4427.1,4546.7,4504.51
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Central African Republic,CAF,30055.32,29981.42,31765.15,31936.25,29699.1,29754.2,25362.78,25983.36,26815.66,21112.89,21196.29,21245.49,21245.49,21082.34,21197.54,21229.94,21466.04,17450.79,17429.89,17426.29,17362.25,17488.98,17571.44,17585.21,17544.4
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Chad,TCD,37670.1,38171.65,39225.39,40691.14,41570.88,42289.26,43245.64,44354.85,45577.61,46839.66,48040.9,48858.12,49743.45,53612.43,54408.86,55779.14,56596.01,58163.58,59524.47,59831.62,60876.75,61729.96,62627.64,64327.01,65465.82
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Chile,CHL,426298.0919,459415.973,507632.7528,525158.8232,549975.4103,597651.1299,641577.5702,710110.6295,698709.8893,720820.3801,753014.4438,754052.8958,761939.6128,761392.9842,796618.4167,812670.3985,843609.1339,887436.7657,904183.3795,901682.8132,955956.2598,1019718.837,1014598.632,1088991.16,1013484.441
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,China,CHN,25600281.09,26528968.59,27001548.58,28378707.89,28961956.47,30899704.56,29871224.67,30269947.03,30642936.86,29791176.87,30396819.47,31486053.46,32906920.49,36401074.55,42690504.15,47280281.93,50766976.91,54962821.24,57293228.79,59893565.9,64448224.47,69123023.06,71372056.04,74165242.15,76546089.84
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,"China, Hong Kong Special Administrative Region",HKG,212194.6858,221755.8717,257544.5962,264737.2674,287567.4272,281136.4187,277339.033,280841.4168,375585.8119,446199.6271,379693.3139,378993.5321,343975.5138,337234.4308,314135.1853,308927.9784,317602.1488,326769.9429,330756.4464,364633.478,339201.222,354230.6617,356436.9797,358681.3557,375773.7573
