pais,energia_tipo,anio,energia_cons,energia_produccion,pbi,poblacion,energia_intensidad_per_capita,energia_intensidad_by_pbi,co2_emision_co2
Bolivia,renewables_n_other,1980,0.01,0.01,,5579.93,13.36,0.0,0.0
Bosnia and Herzegovina,all_energy_types,1980,,,,,,,
Bosnia and Herzegovina,coal,1980,,,,,,,
Bosnia and Herzegovina,natural_gas,1980,,,,,,,
Bosnia and Herzegovina,petroleum_n_other_liquids,1980,,,,,,,
Bosnia and Herzegovina,nuclear,1980,,,,,,,0.0
Bosnia and Herzegovina,renewables_n_other,1980,,,,,,,0.0
Botswana,all_energy_types,1980,0.01,0.01,3.93,897.86,16.43,3.75,
Botswana,coal,1980,0.01,0.01,3.93,897.86,16.43,3.75,
Botswana,natural_gas,1980,0.0,0.0,3.93,897.86,16.43,3.75,
Botswana,petroleum_n_other_liquids,1980,0.01,0.0,3.93,897.86,16.43,3.75,
Botswana,nuclear,1980,,,3.93,897.86,16.43,3.75,0.0
Botswana,renewables_n_other,1980,0.0,0.0,3.93,897.86,16.43,3.75,0.0
Brazil,all_energy_types,1980,3.9,1.98,1305.13,121050.8,32.19,2.99,
Brazil,coal,1980,0.21,0.08,1305.13,121050.8,32.19,2.99,
Brazil,natural_gas,1980,0.06,0.06,1305.13,121050.8,32.19,2.99,
Brazil,petroleum_n_other_liquids,1980,2.26,0.4,1305.13,121050.8,32.19,2.99,
Brazil,nuclear,1980,,,1305.13,121050.8,32.19,2.99,0.0
Brazil,renewables_n_other,1980,1.37,1.44,1305.13,121050.8,32.19,2.99,0.0
British Virgin Islands,all_energy_types,1980,0.0,0.0,,11.47,37.0,0.0,
British Virgin Islands,coal,1980,0.0,0.0,,11.47,37.0,0.0,
British Virgin Islands,natural_gas,1980,0.0,0.0,,11.47,37.0,0.0,
British Virgin Islands,petroleum_n_other_liquids,1980,0.0,0.0,,11.47,37.0,0.0,
British Virgin Islands,nuclear,1980,,,,11.47,37.0,0.0,0.0
British Virgin Islands,renewables_n_other,1980,0.0,0.0,,11.47,37.0,0.0,0.0
Brunei,all_energy_types,1980,0.08,0.95,,193.88,424.61,0.0,
Brunei,coal,1980,0.0,0.0,,193.88,424.61,0.0,
Brunei,natural_gas,1980,0.07,0.38,,193.88,424.61,0.0,
Brunei,petroleum_n_other_liquids,1980,0.01,0.56,,193.88,424.61,0.0,
Brunei,nuclear,1980,,,,193.88,424.61,0.0,0.0
Brunei,renewables_n_other,1980,0.0,0.0,,193.88,424.61,0.0,0.0
Bulgaria,all_energy_types,1980,1.34,0.32,63.56,8865.31,151.03,21.06,
Bulgaria,coal,1980,0.38,0.21,63.56,8865.31,151.03,21.06,
Bulgaria,natural_gas,1980,0.17,0.0,63.56,8865.31,151.03,21.06,
Bulgaria,petroleum_n_other_liquids,1980,0.67,0.01,63.56,8865.31,151.03,21.06,
Bulgaria,nuclear,1980,0.06,0.06,63.56,8865.31,151.03,21.06,0.0
Bulgaria,renewables_n_other,1980,0.06,0.04,63.56,8865.31,151.03,21.06,0.0
Burkina Faso,all_energy_types,1980,0.01,0.0,,6822.84,0.88,0.0,
Burkina Faso,coal,1980,0.0,0.0,,6822.84,0.88,0.0,
Burkina Faso,natural_gas,1980,0.0,0.0,,6822.84,0.88,0.0,
Burkina Faso,petroleum_n_other_liquids,1980,0.01,0.0,,6822.84,0.88,0.0,
Burkina Faso,nuclear,1980,,,,6822.84,0.88,0.0,0.0
