pais,pbi,anio,co2,pct_chg_co2,cumplimiento,carbon_produccion,gas_produccion,petroleo_produccion,cpm_carbon,cpm_gas,cpm_petroleo
Portugal,342.7,2019,53.52,-5.257567711099309,-88.31651619755708,,,,sin_dato,sin_dato,sin_dato
Qatar,247.05,2019,105.34,72.91529875246225,-262.0339972276939,,1771.52,836.07,sin_dato,-4036.7111111111108,-1493.4500000000003
Romania,522.9,2019,73.68,-8.244084682440834,-81.67981181679814,45.68,96.23,41.48,-148.0842105263158,-313.8444444444445,-169.13333333333333
Russia,3770.42,2019,1798.24,19.43756268306777,-143.19458374015062,2563.6,6790.45,6668.51,-2798.5263157894733,-15189.888888888887,-11214.183333333334
Rwanda,27.01,2019,1.11,38.74999999999999,-186.11111111111111,,,,sin_dato,sin_dato,sin_dato
Saint Lucia,2.71,2019,0.45,12.5,-127.77777777777776,,,,sin_dato,sin_dato,sin_dato
Saudi Arabia,1771.04,2019,567.99,28.51324750548678,-163.36277223441508,,1111.5,6472.84,sin_dato,-2570.0,-10888.066666666668
Senegal,54.87,2019,9.56,59.86622073578596,-233.0360460795244,,,,sin_dato,sin_dato,sin_dato
Serbia,121.69,2019,47.04,-0.5076142131979711,-98.87196841511565,80.09,,,-184.30526315789476,sin_dato,sin_dato
Sierra Leone,13.85,2019,0.99,-29.28571428571428,-34.92063492063493,,,,sin_dato,sin_dato,sin_dato
Singapore,545.4,2019,244.06,26.56744282528652,-159.03876183397006,,,,sin_dato,sin_dato,sin_dato
Slovakia,181.39,2019,34.5,-3.711973206809928,-91.75117065153349,,,,sin_dato,sin_dato,sin_dato
Slovenia,76.49,2019,14.25,-7.286922576447619,-83.80683871900528,,,,sin_dato,sin_dato,sin_dato
South Africa,785.22,2019,455.45,-1.6604050611046306,-96.31021097532305,1672.68,,,-1860.7157894736843,sin_dato,sin_dato
South Korea,2160.64,2019,702.96,26.42483319245365,-158.7218515387859,5.96,,,-106.27368421052633,sin_dato,sin_dato
Spain,1796.29,2019,293.78,-7.105138339920957,-84.21080368906453,0.68,,,-100.71578947368423,sin_dato,sin_dato
Sri Lanka,276.99,2019,22.81,74.12213740458016,-264.715860899067,,,,sin_dato,sin_dato,sin_dato
Sudan,187.63,2019,18.36,2.0000000000000018,-104.44444444444446,,,41.34,sin_dato,sin_dato,-168.9
Suriname,9.21,2019,2.31,10.000000000000009,-122.22222222222224,,,,sin_dato,sin_dato,sin_dato
Sweden,524.62,2019,47.08,-9.791147729450088,-78.24189393455536,,,,sin_dato,sin_dato,sin_dato
Switzerland,590.96,2019,38.84,-10.486287162940766,-76.6971396379094,,,,sin_dato,sin_dato,sin_dato
Taiwan,1232.27,2019,283.19,16.895071410880867,-137.54460313529083,,,,sin_dato,sin_dato,sin_dato
Tajikistan,35.11,2019,6.87,178.1376518218623,-495.86144849302747,,,,sin_dato,sin_dato,sin_dato
Tanzania,153.35,2019,11.48,69.0721649484536,-253.4936998854525,,,,sin_dato,sin_dato,sin_dato
Thailand,1248.42,2019,303.67,16.818618965185617,-137.37470881152362,41.07,357.73,196.87,-143.23157894736843,-894.9555555555555,-428.1166666666667
Togo,16.84,2019,2.26,45.8064516129032,-201.79211469534044,,,,sin_dato,sin_dato,sin_dato
Trinidad and Tobago,33.98,2019,40.49,-12.831001076426263,-71.4866642746083,,345.61,42.57,sin_dato,-868.0222222222224,-170.95
Tunisia,122.68,2019,25.33,39.09939593629872,-186.88754652510823,,,21.85,sin_dato,sin_dato,-136.41666666666666
Turkey,2338.02,2019,397.8,47.05012568386813,-204.55583485304027,201.77,,,-312.3894736842105,sin_dato,sin_dato
Turkmenistan,110.94,2019,97.31,103.2372598162072,-329.4161329249049,,631.63,142.04,sin_dato,-1503.6222222222223,-336.73333333333335
Uganda,103.11,2019,5.87,77.87878787878788,-273.06397306397304,,,,sin_dato,sin_dato,sin_dato
Ukraine,487.7,2019,202.51,-24.034061069847706,-46.59097540033844,166.36,194.01,,-275.11578947368423,-531.1333333333333,sin_dato
United Arab Emirates,663.29,2019,274.04,29.67396962097196,-165.94215471327098,,575.16,2099.73,sin_dato,-1378.1333333333332,-3599.55
United Kingdom,2992.82,2019,411.17,-20.834456467326422,-53.70120785038572,17.35,391.56,602.64,-118.26315789473682,-970.1333333333334,-1104.4
United States,19925.43,2019,5277.19,-2.340450731541221,-94.79899837435283,3969.05,9281.11,8721.28,-4277.947368421053,-20724.68888888889,-14635.466666666667
Uruguay,78.08,2019,7.31,-19.493392070484585,-56.6813509544787,,,,sin_dato,sin_dato,sin_dato
Uzbekistan,257.44,2019,99.39,-7.466716320640532,-83.40729706524327,13.43,574.58,35.02,-114.13684210526316,-1376.8444444444444,-158.36666666666667
Venezuela,190.15,2019,131.49,-3.023821815768124,-93.28039596495972,3.34,255.76,605.42,-103.51578947368421,-668.3555555555555,-1109.033333333333
Vietnam,915.5,2019,241.81,121.92547723935392,-370.9455049763421,302.11,98.43,133.07,-418.0105263157895,-318.73333333333335,-321.7833333333333
Western Sahara,,2019,0.26,-13.33333333333333,-70.37037037037038,,,,sin_dato,sin_dato,sin_dato
Yemen,53.08,2019,8.29,-60.42959427207637,34.28798727128083,,3.01,47.39,sin_dato,-106.68888888888888,-178.98333333333335
Zambia,247.18,2019,7.1,200.84745762711864,-546.3276836158192,,,,sin_dato,sin_dato,sin_dato
Zimbabwe,37.62,2019,8.96,21.081081081081088,-146.8468468468469,19.7,,,-120.73684210526316,sin_dato,sin_dato
