pais;pais_iso;indicador;anio;frecuencia
Cuba;CUB;TOTAL;1980;1.0
Cuba;CUB;Wildfire;1980;0.0
Cyprus;CYP;Drought;1980;0.0
Cyprus;CYP;Extreme temperature;1980;0.0
Cyprus;CYP;Storm;1980;0.0
Cyprus;CYP;TOTAL;1980;0.0
Cyprus;CYP;Wildfire;1980;0.0
Czech Rep.;CZE;Extreme temperature;1980;0.0
Czech Rep.;CZE;Flood;1980;0.0
Czech Rep.;CZE;Storm;1980;0.0
Czech Rep.;CZE;TOTAL;1980;0.0
Denmark;DNK;Drought;1980;0.0
Denmark;DNK;Storm;1980;1.0
Denmark;DNK;TOTAL;1980;1.0
Djibouti;DJI;Drought;1980;1.0
Djibouti;DJI;Flood;1980;0.0
Djibouti;DJI;Storm;1980;0.0
Djibouti;DJI;TOTAL;1980;1.0
Dominica;DMA;Storm;1980;1.0
Dominica;DMA;TOTAL;1980;1.0
Dominican Rep.;DOM;Flood;1980;0.0
Dominican Rep.;DOM;Storm;1980;1.0
Dominican Rep.;DOM;TOTAL;1980;1.0
Dominican Rep.;DOM;Wildfire;1980;0.0
Ecuador;ECU;Drought;1980;0.0
Ecuador;ECU;Flood;1980;0.0
Ecuador;ECU;Landslide;1980;0.0
Ecuador;ECU;TOTAL;1980;0.0
Ecuador;ECU;Wildfire;1980;0.0
Egypt, Arab Rep. of;EGY;Extreme temperature;1980;0.0
Egypt, Arab Rep. of;EGY;Flood;1980;0.0
Egypt, Arab Rep. of;EGY;Storm;1980;0.0
Egypt, Arab Rep. of;EGY;TOTAL;1980;0.0
El Salvador;SLV;Drought;1980;0.0
El Salvador;SLV;Extreme temperature;1980;0.0
El Salvador;SLV;Flood;1980;0.0
El Salvador;SLV;Landslide;1980;0.0
El Salvador;SLV;Storm;1980;0.0
El Salvador;SLV;TOTAL;1980;0.0
Eritrea, The State of;ERI;Drought;1980;0.0
Eritrea, The State of;ERI;Flood;1980;0.0
Eritrea, The State of;ERI;Storm;1980;0.0
Eritrea, The State of;ERI;TOTAL;1980;0.0
Estonia, Rep. of;EST;Extreme temperature;1980;0.0
Estonia, Rep. of;EST;Storm;1980;0.0
Estonia, Rep. of;EST;TOTAL;1980;0.0
Eswatini, Kingdom of;SWZ;Drought;1980;0.0
Eswatini, Kingdom of;SWZ;Flood;1980;0.0
Eswatini, Kingdom of;SWZ;Storm;1980;0.0
Eswatini, Kingdom of;SWZ;TOTAL;1980;0.0
Eswatini, Kingdom of;SWZ;Wildfire;1980;0.0
Ethiopia, The Federal Dem. Rep. of;ETH;Drought;1980;0.0
Ethiopia, The Federal Dem. Rep. of;ETH;Flood;1980;0.0
Ethiopia, The Federal Dem. Rep. of;ETH;Landslide;1980;0.0
Ethiopia, The Federal Dem. Rep. of;ETH;TOTAL;1980;0.0
Ethiopia, The Federal Dem. Rep. of;ETH;Wildfire;1980;0.0
Fiji, Rep. of;FJI;Drought;1980;0.0
Fiji, Rep. of;FJI;Flood;1980;0.0
Fiji, Rep. of;FJI;Storm;1980;1.0
Fiji, Rep. of;FJI;TOTAL;1980;1.0
Finland;FIN;Flood;1980;0.0
Finland;FIN;Storm;1980;0.0
Finland;FIN;TOTAL;1980;0.0
France;FRA;Drought;1980;0.0
France;FRA;Extreme temperature;1980;0.0
France;FRA;Flood;1980;1.0
France;FRA;Landslide;1980;0.0
France;FRA;Storm;1980;0.0
France;FRA;TOTAL;1980;1.0
France;FRA;Wildfire;1980;0.0
French Polynesia;PYF;Flood;1980;0.0
French Polynesia;PYF;Landslide;1980;0.0
French Polynesia;PYF;Storm;1980;0.0
French Polynesia;PYF;TOTAL;1980;0.0
Gabon;GAB;Flood;1980;0.0
Gabon;GAB;Storm;1980;0.0
Gabon;GAB;TOTAL;1980;0.0
Gambia, The;GMB;Drought;1980;1.0
Gambia, The;GMB;Flood;1980;0.0
Gambia, The;GMB;Storm;1980;0.0
Gambia, The;GMB;TOTAL;1980;1.0
Georgia;GEO;Drought;1980;0.0
Georgia;GEO;Flood;1980;0.0
Georgia;GEO;Storm;1980;0.0
Georgia;GEO;TOTAL;1980;0.0
Germany;DEU;Extreme temperature;1980;0.0
Germany;DEU;Flood;1980;0.0
Germany;DEU;Landslide;1980;0.0
Germany;DEU;Storm;1980;0.0
Germany;DEU;TOTAL;1980;0.0
Germany Dem Rep (former);DDR;Storm;1980;0.0
Germany Dem Rep (former);DDR;TOTAL;1980;0.0
Germany Fed Rep (former);DFR;Flood;1980;0.0
Germany Fed Rep (former);DFR;Storm;1980;0.0
Germany Fed Rep (former);DFR;TOTAL;1980;0.0
Germany Fed Rep (former);DFR;Wildfire;1980;0.0
Ghana;GHA;Drought;1980;1.0
Ghana;GHA;Flood;1980;0.0
Ghana;GHA;Storm;1980;0.0
Ghana;GHA;TOTAL;1980;1.0
Ghana;GHA;Wildfire;1980;0.0
Greece;GRC;Drought;1980;0.0
Greece;GRC;Extreme temperature;1980;0.0
Greece;GRC;Flood;1980;0.0
Greece;GRC;Storm;1980;0.0
Greece;GRC;TOTAL;1980;0.0
Greece;GRC;Wildfire;1980;0.0
Grenada;GRD;Drought;1980;0.0
Grenada;GRD;Storm;1980;1.0
Grenada;GRD;TOTAL;1980;1.0
Guam;GUM;Storm;1980;0.0
Guam;GUM;TOTAL;1980;0.0
Guatemala;GTM;Drought;1980;0.0
Guatemala;GTM;Extreme temperature;1980;0.0
Guatemala;GTM;Flood;1980;0.0
Guatemala;GTM;Landslide;1980;0.0
Guatemala;GTM;Storm;1980;0.0
Guatemala;GTM;TOTAL;1980;0.0
Guatemala;GTM;Wildfire;1980;0.0
Guinea;GIN;Drought;1980;1.0
Guinea;GIN;Flood;1980;0.0
Guinea;GIN;Landslide;1980;0.0
Guinea;GIN;Storm;1980;0.0
Guinea;GIN;TOTAL;1980;1.0
Guinea;GIN;Wildfire;1980;0.0
Guinea-Bissau;GNB;Drought;1980;1.0
Guinea-Bissau;GNB;Flood;1980;0.0
Guinea-Bissau;GNB;Storm;1980;0.0
Guinea-Bissau;GNB;TOTAL;1980;1.0
Guinea-Bissau;GNB;Wildfire;1980;0.0
Guyana;GUY;Drought;1980;0.0
Guyana;GUY;Flood;1980;0.0
Guyana;GUY;TOTAL;1980;0.0
Haiti;HTI;Drought;1980;1.0
Haiti;HTI;Flood;1980;0.0
Haiti;HTI;Landslide;1980;0.0
Haiti;HTI;Storm;1980;1.0
Haiti;HTI;TOTAL;1980;2.0
Honduras;HND;Drought;1980;0.0
Honduras;HND;Flood;1980;0.0
Honduras;HND;Storm;1980;0.0
Honduras;HND;TOTAL;1980;0.0
Honduras;HND;Wildfire;1980;0.0
Hungary;HUN;Drought;1980;0.0
Hungary;HUN;Extreme temperature;1980;0.0
Hungary;HUN;Flood;1980;0.0
Hungary;HUN;Storm;1980;0.0
Hungary;HUN;TOTAL;1980;0.0
Iceland;ISL;Flood;1980;0.0
Iceland;ISL;Landslide;1980;0.0
Iceland;ISL;TOTAL;1980;0.0
India;IND;Drought;1980;0.0
India;IND;Extreme temperature;1980;2.0
India;IND;Flood;1980;5.0
India;IND;Landslide;1980;1.0
India;IND;Storm;1980;3.0
India;IND;TOTAL;1980;11.0
India;IND;Wildfire;1980;0.0
Indonesia;IDN;Drought;1980;0.0
Indonesia;IDN;Flood;1980;1.0
Indonesia;IDN;Landslide;1980;1.0
Indonesia;IDN;Storm;1980;1.0
Indonesia;IDN;TOTAL;1980;3.0
Indonesia;IDN;Wildfire;1980;0.0
Iran, Islamic Rep. of;IRN;Drought;1980;0.0
Iran, Islamic Rep. of;IRN;Flood;1980;2.0
Iran, Islamic Rep. of;IRN;Landslide;1980;0.0
Iran, Islamic Rep. of;IRN;Storm;1980;0.0
Iran, Islamic Rep. of;IRN;TOTAL;1980;2.0
Iran, Islamic Rep. of;IRN;Wildfire;1980;0.0
Iraq;IRQ;Drought;1980;0.0
Iraq;IRQ;Flood;1980;0.0
Iraq;IRQ;TOTAL;1980;0.0
Ireland;IRL;Flood;1980;0.0
Ireland;IRL;Storm;1980;0.0
Ireland;IRL;TOTAL;1980;0.0
Isle of Man;IMN;Storm;1980;0.0
Isle of Man;IMN;TOTAL;1980;0.0
Israel;ISR;Drought;1980;0.0
Israel;ISR;Extreme temperature;1980;0.0
Israel;ISR;Flood;1980;0.0
Israel;ISR;Storm;1980;0.0
Israel;ISR;TOTAL;1980;0.0
Israel;ISR;Wildfire;1980;0.0
Italy;ITA;Drought;1980;0.0
Italy;ITA;Extreme temperature;1980;0.0
Italy;ITA;Flood;1980;0.0
Italy;ITA;Landslide;1980;0.0
Italy;ITA;Storm;1980;0.0
Italy;ITA;TOTAL;1980;0.0
Italy;ITA;Wildfire;1980;0.0
Jamaica;JAM;Drought;1980;0.0
Jamaica;JAM;Flood;1980;0.0
Jamaica;JAM;Storm;1980;1.0
