;pais;codigo_iso;anio;valor;info_codigo
196;Sweden;SWE;1990;7.47;6.1
197;Switzerland;CHE;1990;3.26;6.1
198;Syrian Arab Republic;SYR;1990;9.61;6.1
199;Taiwan, China;TWN;1990;;6.1
200;Tajikistan;TJK;1990;11.54;6.1
201;Tanzania;TZA;1990;11.18;6.1
202;Thailand;THA;1990;4.67;6.1
203;Timor-Leste;TMP;1990;;6.1
204;Togo;TGO;1990;10.34;6.1
205;Tonga;TON;1990;3.26;6.1
206;Trinidad and Tobago;TTO;1990;16.92;6.1
207;Tunisia;TUN;1990;4.46;6.1
208;Turkey;TUR;1990;3.83;6.1
209;Turkmenistan;TKM;1990;23.94;6.1
210;Turks and Caicos Islands;TCA;1990;;6.1
211;Tuvalu;TUV;1990;3.45;6.1
212;Uganda;UGA;1990;20.88;6.1
213;Ukraine;UKR;1990;19.38;6.1
214;United Arab Emirates;ARE;1990;4.12;6.1
215;United Kingdom;GBR;1990;5.66;6.1
216;United States;USA;1990;8.67;6.1
217;Uruguay;URY;1990;3.08;6.1
218;Uzbekistan;UZB;1990;31.22;6.1
219;Vanuatu;VUT;1990;3.13;6.1
220;Venezuela, RB;VEN;1990;5.77;6.1
221;Vietnam;VNM;1990;7.55;6.1
222;Virgin Islands (U.S.);VIR;1990;;6.1
223;West Bank and Gaza;WBG;1990;4.69;6.1
224;Western Sahara;ESH;1990;;6.1
225;Yemen, Rep.;YEM;1990;2.59;6.1
226;Zambia;ZMB;1990;12.08;6.1
227;Zimbabwe;ZWE;1990;14.7;6.1
228;Afghanistan;AFG;1991;2.0;6.1
229;Albania;ALB;1991;7.87;6.1
230;Algeria;DZA;1991;3.75;6.1
231;American Samoa;ASM;1991;;6.1
232;Andorra;ADO;1991;;6.1
233;Angola;AGO;1991;4.77;6.1
234;Antigua and Barbuda;ATG;1991;3.71;6.1
235;Argentina;ARG;1991;4.98;6.1
236;Armenia;ARM;1991;29.09;6.1
237;Aruba;ABW;1991;;6.1
238;Australia;AUS;1991;7.34;6.1
239;Austria;AUT;1991;4.49;6.1
240;Azerbaijan;AZE;1991;15.53;6.1
