;pais;codigo_iso;anio;valor;info_codigo
438;Turks and Caicos Islands;TCA;1990;99.84;1.2
439;Tuvalu;TUV;1990;91.04;1.2
440;Uganda;UGA;1990;;1.2
441;Ukraine;UKR;1990;90.2;1.2
442;United Arab Emirates;ARE;1990;100.0;1.2
443;United Kingdom;GBR;1990;100.0;1.2
444;United States;USA;1990;100.0;1.2
445;Uruguay;URY;1990;66.56;1.2
446;Uzbekistan;UZB;1990;97.86;1.2
447;Vanuatu;VUT;1990;17.44;1.2
448;Venezuela, RB;VEN;1990;97.53;1.2
449;Vietnam;VNM;1990;68.99;1.2
450;Virgin Islands (U.S.);VIR;1990;100.0;1.2
451;West Bank and Gaza;WBG;1990;97.74;1.2
452;Western Sahara;ESH;1990;;1.2
453;Yemen, Rep.;YEM;1990;21.81;1.2
454;Zambia;ZMB;1990;1.8;1.2
455;Zimbabwe;ZWE;1990;3.19;1.2
456;Afghanistan;AFG;1990;;1.3
457;Albania;ALB;1990;100.0;1.3
458;Algeria;DZA;1990;93.68;1.3
459;American Samoa;ASM;1990;;1.3
460;Andorra;ADO;1990;100.0;1.3
461;Angola;AGO;1990;100.0;1.3
462;Antigua and Barbuda;ATG;1990;48.52;1.3
463;Argentina;ARG;1990;;1.3
464;Armenia;ARM;1990;97.47;1.3
465;Aruba;ABW;1990;78.22;1.3
466;Australia;AUS;1990;100.0;1.3
467;Austria;AUT;1990;100.0;1.3
468;Azerbaijan;AZE;1990;96.89;1.3
469;Bahamas, The;BHS;1990;87.85;1.3
470;Bahrain;BHR;1990;;1.3
471;Bangladesh;BGD;1990;;1.3
472;Barbados;BRB;1990;;1.3
473;Belarus;BLR;1990;100.0;1.3
474;Belgium;BEL;1990;100.0;1.3
475;Belize;BLZ;1990;84.4;1.3
476;Benin;BEN;1990;;1.3
477;Bermuda;BMU;1990;100.0;1.3
478;Bhutan;BTN;1990;;1.3
479;Bolivia;BOL;1990;98.08;1.3
480;Bosnia and Herzegovina;BIH;1990;100.0;1.3
481;Botswana;BWA;1990;;1.3
482;Brazil;BRA;1990;98.79;1.3
483;British Virgin Islands;VGB;1990;;1.3
484;Brunei Darussalam;BRN;1990;100.0;1.3
485;Bulgaria;BGR;1990;100.0;1.3
486;Burkina Faso;BFA;1990;;1.3
487;Burundi;BDI;1990;;1.3
488;Cambodia;KHM;1990;;1.3
489;Cameroon;CMR;1990;55.56;1.3
490;Canada;CAN;1990;100.0;1.3
491;Cape Verde;CPV;1990;;1.3
492;Cayman Islands;CYM;1990;100.0;1.3
493;Central African Republic;CAF;1990;;1.3
494;Chad;TCD;1990;;1.3
495;Channel Islands;CHI;1990;100.0;1.3
496;Chile;CHL;1990;98.16;1.3
497;China;CHN;1990;97.43;1.3
498;Colombia;COL;1990;98.68;1.3
499;Comoros;COM;1990;42.83;1.3
500;Congo, Dem. Rep.;ZAR;1990;;1.3
501;Congo, Rep.;COG;1990;16.78;1.3
502;Cook Islands;COK;1990;100.0;1.3
503;Costa Rica;CRI;1990;99.62;1.3
504;Cote d'Ivoire;CIV;1990;99.62;1.3
505;Croatia;HRV;1990;100.0;1.3
506;Cuba;CUB;1990;96.2;1.3
507;Curacao;CUW;1990;96.2;1.3
508;Cyprus;CYP;1990;100.0;1.3
509;Czech Republic;CZE;1990;100.0;1.3
510;Denmark;DNK;1990;100.0;1.3
511;Djibouti;DJI;1990;80.06;1.3
512;Dominica;DMA;1990;;1.3
513;Dominican Republic;DOM;1990;100.0;1.3
514;Ecuador;ECU;1990;100.0;1.3
515;Egypt, Arab Rep.;EGY;1990;99.87;1.3
516;El Salvador;SLV;1990;100.0;1.3
517;Equatorial Guinea;GNQ;1990;100.0;1.3
518;Eritrea;ERI;1990;100.0;1.3
519;Estonia;EST;1990;100.0;1.3
520;Ethiopia;ETH;1990;;1.3
521;Faeroe Islands;FRO;1990;100.0;1.3
522;Falkland Islands;FLK;1990;;1.3
523;Fiji;FJI;1990;47.42;1.3
524;Finland;FIN;1990;100.0;1.3
525;France;FRA;1990;100.0;1.3
526;French Guyana;GUF;1990;;1.3
527;French Polynesia;PYF;1990;100.0;1.3
528;Gabon;GAB;1990;82.76;1.3
529;Gambia, The;GMB;1990;9.33;1.3
530;Georgia;GEO;1990;98.95;1.3
531;Germany;DEU;1990;100.0;1.3
532;Ghana;GHA;1990;;1.3
533;Gibraltar;GIB;1990;100.0;1.3
534;Greece;GRC;1990;100.0;1.3
535;Greenland;GRL;1990;100.0;1.3
536;Grenada;GRD;1990;;1.3
537;Guadeloupe;GLP;1990;;1.3
538;Guam;GUM;1990;;1.3
539;Guatemala;GTM;1990;89.11;1.3
540;Guinea;GIN;1990;31.05;1.3
541;Guinea-Bissau;GNB;1990;;1.3
542;Guyana;GUY;1990;93.95;1.3
543;Haiti;HTI;1990;98.81;1.3
544;Honduras;HND;1990;98.11;1.3
545;Hong Kong SAR, China;HKG;1990;100.0;1.3
546;Hungary;HUN;1990;100.0;1.3
547;Iceland;ISL;1990;100.0;1.3
548;India;IND;1990;83.34;1.3
549;Indonesia;IDN;1990;98.53;1.3
550;Iran, Islamic Rep.;IRN;1990;97.74;1.3
551;Iraq;IRQ;1990;100.0;1.3
552;Ireland;IRL;1990;100.0;1.3
553;Isle of Man;IMY;1990;100.0;1.3
554;Israel;ISR;1990;100.0;1.3
555;Italy;ITA;1990;100.0;1.3
556;Jamaica;JAM;1990;87.85;1.3
557;Japan;JPN;1990;100.0;1.3
558;Jordan;JOR;1990;99.28;1.3
559;Kazakhstan;KAZ;1990;98.93;1.3
560;Kenya;KEN;1990;28.59;1.3
561;Kiribati;KIR;1990;96.36;1.3
562;Korea, Dem. Rep.;PRK;1990;;1.3
563;Korea, Rep.;KOR;1990;;1.3
564;Kosovo;KSV;1990;;1.3
565;Kuwait;KWT;1990;100.0;1.3
566;Kyrgyz Republic;KGZ;1990;100.0;1.3
567;Lao PDR;LAO;1990;100.0;1.3
568;Latvia;LVA;1990;100.0;1.3
569;Lebanon;LBN;1990;98.7;1.3
570;Lesotho;LSO;1990;;1.3
571;Liberia;LBR;1990;;1.3
572;Libya;LBY;1990;100.0;1.3
573;Liechtenstein;LIE;1990;100.0;1.3
574;Lithuania;LTU;1990;100.0;1.3
575;Luxembourg;LUX;1990;100.0;1.3
576;Macao SAR, China;MAC;1990;;1.3
577;Macedonia, FYR;MKD;1990;90.48;1.3
578;Madagascar;MDG;1990;40.39;1.3
579;Malawi;MWI;1990;14.26;1.3
580;Malaysia;MYS;1990;98.18;1.3
581;Maldives;MDV;1990;4.29;1.3
582;Mali;MLI;1990;;1.3
583;Malta;MLT;1990;100.0;1.3
584;Marshall Islands;MHL;1990;;1.3
585;Martinique;MTQ;1990;;1.3
586;Mauritania;MRT;1990;3.02;1.3
587;Mauritius;MUS;1990;96.9;1.3
588;Mayotte;MYT;1990;;1.3
589;Mexico;MEX;1990;99.7;1.3
590;Micronesia, Fed. Sts.;FSM;1990;;1.3
591;Moldova;MDA;1990;100.0;1.3
592;Monaco;MCO;1990;100.0;1.3
593;Mongolia;MNG;1990;36.56;1.3
594;Montenegro;MNE;1990;100.0;1.3
595;Montserrat;MSR;1990;;1.3
596;Morocco;MAR;1990;87.35;1.3
597;Mozambique;MOZ;1990;;1.3
598;Myanmar;MMR;1990;;1.3
599;Namibia;NAM;1990;81.51;1.3
600;Nepal;NPL;1990;;1.3
601;Netherlands;NLD;1990;100.0;1.3
602;Netherlands Antilles;ANT;1990;;1.3
603;New Caledonia;NCL;1990;;1.3
604;New Zealand;NZL;1990;100.0;1.3
605;Nicaragua;NIC;1990;95.01;1.3
606;Niger;NER;1990;;1.3
607;Nigeria;NGA;1990;71.61;1.3
608;Northern Mariana Islands;MNP;1990;;1.3
609;Norway;NOR;1990;100.0;1.3
610;Oman;OMN;1990;;1.3
611;Pakistan;PAK;1990;93.87;1.3
612;Palau;PLW;1990;97.96;1.3
